EventID, Event_Name, Location, Zip
8, 'Absolution Run', 'Kenmore', 98028
9, 'Interlaken Icicle Dash', 'Seattle', 98102
10, 'Frost Eagle', 'Sammamish', 98074
11, 'Fort Ebey Kettles Trail Run', 'Coupeville', 98239
12, 'Spring Run for Fun', 'Redmond', 98053
13, 'Cedar Mountain Trail Run', 'Renton', 98038
14, 'Rock Creek Ramble', 'Sprague', 99032
15, 'Spring Eagle Trail Run', 'Sammamish', 98074
16, 'Teanaway Trail Run', 'Cle Elum', 98922
17, 'Ravenna Run the Ravine', 'Seattle', 98105
18, 'Rattlesnake Ridge Run', 'North Bend', 98045
19, 'Sunshine Salutation', 'Redmond', 98053
20, 'Carkeek Warmer', 'Seattle', 98177
21, 'Seward Sizzler', 'Seattle', 98118
22, 'Pie High Trail Run', 'Snohomish', 98290
23, 'Summer Eddy', 'Kenmore', 98028
24, 'Summer Blast', 'Redmond', 98053
25, 'Interlaken Ice Cream Dash', 'Seattle', 98102
26, 'Cedar River Trail Run', 'Maple Valley', 98038
27, 'End of Summer Run', 'Seattle', 98177
28, 'St Edward Harvest Half', 'Kenmore', 98028
29, 'Run with the Kokenee', 'Issaquah'
30, 'Carkeek Cooler', 'Seattle', 98177
31, ''
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
60,
61,
62,
63,
64,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
1000,
1001,
1002,
1003,
1004,
1005,
1006,
1007,
1008,
1009,
1010,
1011,
1012,
1013,
1014,
1015,
1016,
1017,
1018,
1019,
1020,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
3000,
3001,
4000,
4001,
4002,
4003,
4004,
4005,
4006,
4007,
